index,classType,group,day,time,venue,remark
10184,LEC/STUDIO,CS2,FRI,1030-1130,ONLINE,
10184,LEC/STUDIO,CS2,MON,1230-1330,ONLINE,
10184,TUT,SS1,WED,0930-1030,TR+9,Teaching Wk2-13
10184,LAB,SS1,THU,1430-1630,HWLAB2,Teaching Wk2|4|6|8|10|12
10185,LEC/STUDIO,CS2,FRI,1030-1130,ONLINE,
10185,LEC/STUDIO,CS2,MON,1230-1330,ONLINE,
10185,TUT,SS2,FRI,1330-1430,TR+16,Teaching Wk2-13
10185,LAB,SS2,THU,1430-1630,HWLAB2,Teaching Wk1|3|5|7|9|11|13
10186,LEC/STUDIO,CS2,FRI,1030-1130,ONLINE,
10186,LEC/STUDIO,CS2,MON,1230-1330,ONLINE,
10186,TUT,SS3,TUE,1130-1230,TR+16,Teaching Wk2-13
10186,LAB,SS3,MON,1430-1630,HWLAB1,Teaching Wk2|4|6|8|10|12
10198,LEC/STUDIO,CS2,TUE,0930-1030,ONLINE,
10198,LEC/STUDIO,CS2,FRI,1130-1230,ONLINE,
10198,TUT,DSAI1,MON,1130-1230,TR+33,Teaching Wk2-13
10198,LAB,DSAI1,MON,0830-1030,SPL,Teaching Wk1|3|5|7|9|11|13
10199,LEC/STUDIO,CS2,TUE,0930-1030,ONLINE,
10199,LEC/STUDIO,CS2,FRI,1130-1230,ONLINE,
10199,TUT,DSAI2,MON,1330-1430,TR+9,Teaching Wk2-13
10199,LAB,DSAI2,MON,0830-1030,SPL,Teaching Wk2|4|6|8|10|12
10200,LEC/STUDIO,CS2,TUE,0930-1030,ONLINE,
10200,LEC/STUDIO,CS2,FRI,1130-1230,ONLINE,
10200,TUT,SS10,MON,0930-1030,LHN-TR+17,Teaching Wk2-13
10200,LAB,SS10,FRI,1230-1430,SPL,Teaching Wk1|3|5|7|9|11|13
71000,LEC/STUDIO,LE2,TUE,1130-1230,ONLINE,
71000,LEC/STUDIO,LE2,FRI,1430-1630,ONLINE,
71000,TUT,T_1,WED,0830-0930,SPMS-TR+9,Teaching Wk2-13
71001,LEC/STUDIO,LE2,TUE,1130-1230,ONLINE,
71001,LEC/STUDIO,LE2,FRI,1430-1630,ONLINE,
71001,TUT,T_2,WED,0830-0930,SPMS-TR+7,Teaching Wk2-13
71002,LEC/STUDIO,LE2,TUE,1130-1230,ONLINE,
71002,LEC/STUDIO,LE2,FRI,1430-1630,ONLINE,
71002,TUT,T_3,WED,0830-0930,SPMS-TR+8,Teaching Wk2-13
71051,LEC/STUDIO,LE2,FRI,0830-1030,ONLINE,
71051,LEC/STUDIO,LE2,TUE,0930-1030,ONLINE,
71051,TUT,T_2,THU,1130-1230,LHS-TR+28,Teaching Wk2-13
71052,LEC/STUDIO,LE2,FRI,0830-1030,ONLINE,
71052,LEC/STUDIO,LE2,TUE,0930-1030,ONLINE,
71052,TUT,T_3,THU,1130-1230,LHS-TR+31,Teaching Wk2-13
71053,LEC/STUDIO,LE2,FRI,0830-1030,ONLINE,
71053,LEC/STUDIO,LE2,TUE,0930-1030,ONLINE,
71053,TUT,T_4,THU,1130-1230,SPMS-TR+6,Teaching Wk2-13
10154,LEC/STUDIO,CS2,THU,1230-1330,ONLINE,
10154,TUT,DSAI,THU,1530-1630,TR+9,Teaching Wk2-13
10154,LAB,DSAI,WED,0830-1030,SWLAB2,Teaching Wk2|4|6|8|10|12
10155,LEC/STUDIO,CS2,THU,1230-1330,ONLINE,
10155,TUT,SSR1,WED,0930-1030,TR+9,Teaching Wk2-13
10155,LAB,SSR1,TUE,1030-1230,SWLAB2,Teaching Wk2|4|6|8|10|12
